source target
ACH1 PDA1
ACH1 LSC2
ACH1 CEM1
ACH1 LSC1
ACH1 OAR1
ACH1 MCT1
ACH1 PDB1
VAM7 KIN4
VAM7 CDC13
VAM7 VAM3
VAM7 ARL1
VAM7 YPT6
VAM7 BUD32
VAM7 VPS33
VAM7 AVL9
VAM7 ERD1
VAM7 YIF1
VAM7 SNA3
VAM7 YIP5
VAM7 NYV1
VAM7 VPS5
VAM7 COG8
VAM7 NBP2
VAM7 PEP1
VAM7 RPT5
VAM7 SPC72
VAM7 RBD2
VAM7 PEP3
VAM7 PEP5
VAM7 HOC1
VAM7 VAM6
VAM7 VPS41
VAM7 VPS16
VAM7 NRD1
VAM7 ESA1
VAM7 HSP82
VAM7 GAS1
VAM7 RIM15
VAM7 VTI1
VAM7 VPS21
VAM7 CHS3
VAM7 YKT6
VAM7 MNN11
PET111 COX2
RPT1 RPN7
RPT1 RTF1
RPT1 RPN1
RPT1 RPT4
RPT1 RPN5
RPT1 CDC31
RPT1 CDC28
RPT1 HSM3
RPT1 PUP2
RPT1 PRE3
RPT1 RAD23
RPT1 RPN4
RPT1 RPN14
RPT1 RPN9
RPT1 CDC6
RPT1 RPN3
RPT1 RPN12
RPT1 RPN6
RPT1 NOB1
RPT1 RPN2
RPT1 PUP1
RPT1 PRE6
RPT1 PRE1
RPT1 SEM1
RPT1 NAS6
RPT1 RPN10
RPT1 UBP6
RPT1 RPN8
RPT1 RPT5
RPT1 PRE8
RPT1 RPN13
RPT1 PRE10
RPT1 RPT3
RPT1 CIC1
RPT1 ECM29
RPT1 RPT2
RPT1 RPN11
RPT1 PNG1
RPT1 SCL1
RPT1 PSMD5
RPT1 DSK2
RPT1 RPT6
POP5 POP8
POP5 POP4
POP5 POP3
POP5 RPP1
POP5 RPR2
POP5 POP6
POP5 POP7
POP5 RMP1
POP5 NME1
EIS1 LSP1
EIS1 YGR130C
EIS1 PIL1
EIS1 ILM1
EIS1 RIC1
RPL32 RKR1
MDM36 SPC24
CDC5 MDM10
CDC5 NET1
CDC5 CDC12
CDC5 CDC28
CDC5 CDH1
CDC5 SRP1
CDC5 ULP2
CDC5 SNCA
CDC5 MAD2
CDC5 SMC1
CDC5 MPS3
CDC5 APC9
CDC5 BUB2
CDC5 AMN1
CDC5 SWE1
CDC5 IVY1
CDC5 FKH2
CDC5 BBP1
CDC5 CLA4
CDC5 BFA1
CDC5 MIH1
CDC5 REC8
CDC5 SPC97
CDC5 SMC3
CDC5 CDC14
CDC5 KAP95
CDC5 CDC7
CDC5 HOF1
CDC5 DBF4
CDC5 RAD53
CDC5 MMS4
CDC5 SIC1
CDC5 RAD52
CDC5 SPC72
CDC5 RAD9
CDC5 IRR1
CDC5 SLK19
CDC5 TEM1
CDC5 CLB2
CDC5 CNM67
CDC5 RSC2
CDC5 SAE2
CDC5 NUD1
