source target
TESC IPPK
BRAF YWHAH
BRAF YWHAB
BRAF FKBPL
BRAF MAP2K1
BRAF KIAA0141
BRAF RPTOR
BRAF RAF1
BRAF YWHAZ
BRAF YWHAG
BRAF ARMCX3
BRAF MAP2K2
BRAF LIPF
BRAF KRAS
BRAF RAB3GAP1
BRAF YWHAE
BRAF HRAS
BRAF YWHAQ
BRAF ARAF
BRAF KCNC4
CCNB2 CDK1
CCNB2 GHITM
CCNB2 KIAA1467
CCNB2 VAPA
CCNB2 VAPB
CCNB2 CKS1B
CCNB2 CDK2
CCNB2 CRHBP
CCNB2 GMPPB
CCNB2 WDFY1
CCNB2 CKS2
SENP3 TNFRSF13B
SENP3 NOL9
SENP3 PHF19
SENP3 WDR18
TPT1 CST7
TPT1 EEF1A2
TPT1 LACC1
CTNNBL1 CYP1A1
CTNNBL1 DUSP23
CTNNBL1 ZNF394
CTNNBL1 PRPF19
CTNNBL1 USP47
CTNNBL1 ZNF331
CTNNBL1 CLEC3A
CTNNBL1 FGB
CTNNBL1 SNRNP27
CTNNBL1 THAP2
CTNNBL1 CWC15
CTNNBL1 HOXB5
C1orf43 SLC39A8
C1orf43 TEX264
C1orf43 KCNJ6
C1orf43 SLC4A8
C1orf43 CHRND
C1orf43 ZNRF4
C1orf43 CNGA3
C1orf43 CHRNA9
C1orf43 TPM2
C1orf43 PCDHA4
C1orf43 MRAP2
C1orf43 IL17RC
C1orf43 PCDHB7
C1orf43 FAM189A2
C1orf43 KCNS3
C1orf43 PCDHA3
C1orf43 SLC39A4
C1orf43 PCDHB11
C1orf43 LRRTM1
C1orf43 KCNA10
C1orf43 GDPD5
C1orf43 PCDHAC1
C1orf43 TMEM9B
C1orf43 KCNA5
SOCS2 CUL5
AGAP1 EPHA7
AGAP1 PCDHA12
AGAP1 PCDHA10
AGAP1 P4HA3
AGAP1 PCDH20
AGAP1 CBWD1
AGAP1 LZTS2
AGAP1 FLCN
AGAP1 MIER2
CCDC84 GINS1
CCDC84 PRPF3
CCDC84 SART3
CCDC84 TUT1
CCDC84 TXNL4B
CCDC84 SNRPE
CCDC84 WDR83
CCDC84 SNRPG
RAB3GAP2 VAPB
RAB3GAP2 SIRT2
C11orf57 PPIE
C11orf57 PRPF38A
C11orf57 H2AFY2
C11orf57 UBTF
C11orf57 PNN
C11orf57 RALY
C11orf57 CASC3
C11orf57 CCDC9
C11orf57 ZC3H11A
C11orf57 MAGOH
C11orf57 SCAF1
C11orf57 GPALPP1
C11orf57 NOS1AP
C11orf57 CLK2
C11orf57 NKTR
C11orf57 ACIN1
C11orf57 ISY1
C11orf57 THRAP3
C11orf57 TRA2B
C11orf57 C9orf78
C11orf57 BUD31
C11orf57 JMJD6
C11orf57 CLK3
C11orf57 RBM22
C11orf57 PDGFB
C11orf57 CDC40
C11orf57 SF3A2
C11orf57 CRNKL1
C11orf57 GPATCH1
C11orf57 DHX8
C11orf57 DGCR14
C11orf57 NCBP1
C11orf57 MKRN2
C11orf57 CACTIN
C11orf57 SRSF9
C11orf57 FGF8
C11orf57 EIF4A3
C11orf57 NSUN4
C11orf57 CSNK2A1
C11orf57 CSNK2B
C11orf57 IK
C11orf57 SRRM1
C11orf57 SRSF10
C11orf57 TRA2A
C11orf57 PABPN1
C11orf57 RNPS1
C11orf57 AP2A1
C11orf57 SF3A1
C11orf57 DHX35
C11orf57 CWC22
C11orf57 AQR
C11orf57 SNW1
C11orf57 SRRM2
C11orf57 XAB2
C11orf57 YTHDC1
C11orf57 FYTTD1
C11orf57 BCL2L2
C11orf57 ZC3H14
C11orf57 PRPF4B
C11orf57 WDR83
C11orf57 PPIG
C11orf57 SYF2
C11orf57 NKAP
C11orf57 MECP2
C11orf57 HNRNPCL1
C11orf57 SF3A3
C11orf57 SRSF1
C11orf57 HNRNPC
C11orf57 CSNK2A2
C11orf57 ZC3H3
ANKRD10 DPP9
ANKRD10 CHRNA9
EIF2A GML
EIF2A SERPINB5
EIF2A SSSCA1
EIF2A CYP1A1
EIF2A FGB
EIF2A SNRNP27
EIF2A FGF9
EIF2A SNX21
EIF2A GTF2E2
RNASE3 ACTA2
RNASE3 GGPS1
RNASE3 UBAC1
RNASE3 GNAZ
RNASE3 ACTBL2
RNASE3 ACTB
RNASE3 BLK
RNASE3 EFR3B
RNASE3 RNF123
RNASE3 GTPBP2
RNASE3 POTEI
RNASE3 RNH1
CCNA2 CDK5
CCNA2 MTBP
CCNA2 CCNA1
CCNA2 PCNA
CCNA2 TBC1D4
CCNA2 EP300
CCNA2 DNTTIP1
CCNA2 GIP
CCNA2 RBL1
CCNA2 CDKN1B
CCNA2 CDK7
CCNA2 CKS1B
CCNA2 GMNN
CCNA2 ELMSAN1
CCNA2 ORC1
CCNA2 CDK3
CCNA2 PHF8
CCNA2 CDK2
CCNA2 CDKN1A
CCNA2 PKMYT1
CCNA2 CDC20
CCNA2 TICRR
CCNA2 CREBBP
CCNA2 HELB
CCNA2 CDK1
CCNA2 SMTNL2
CCNA2 RBL2
CCNA2 CDKN1C
CCNA2 SAMHD1
CCNA2 SKP2
CCNA2 FZR1
CCNA2 CDT1
CCNA2 SCAPER
CCNA2 TXNDC11
CCNA2 CKS2
ZDBF2 SET
ZDBF2 SENP6
ZDBF2 RPL28
ZDBF2 VAPA
ZDBF2 VAPB
ZDBF2 SIRT6
ZDBF2 CSNK1A1
ZDBF2 PRPF19
ZDBF2 CPNE2
LRRC23 AK9
BTF3L4 SLC25A41
SPPL2B PIGW
SPPL2B SLC19A2
SPPL2B NRN1
SPPL2B RMND1
SPPL2B METTL7A
SPPL2B CHRND
SPPL2B CCNYL1
SPPL2B OSBPL8
SPPL2B TMED1
SPPL2B ACP2
SPPL2B CASC4
SPPL2B GPR114
SPPL2B MTCH2
SPPL2B EXTL2
SPPL2B CDR2
SPPL2B TMEM186
SPPL2B USP28
SPPL2B ABCB8
SPPL2B PSME2
SPPL2B CD70
SPPL2B TOR1A
SPPL2B NR2F2
SPPL2B NDUFB1
SPPL2B SURF4
SPPL2B PIGN
SPPL2B PLD6
SPPL2B PTH1R
SPPL2B EXTL3
SPPL2B FITM2
SPPL2B FXYD6
SPPL2B SLC52A2
SPPL2B PTPLB
SPPL2B COX1
SPPL2B FAM20B
SPPL2B SLC35G2
SPPL2B SYNE4
SPPL2B SLC35F2
SPPL2B SPPL3
SPPL2B GHITM
SPPL2B LMAN2
SPPL2B KTN1
SPPL2B NDUFC2
SPPL2B YIPF4
SPPL2B SLC8A3
SPPL2B CD300E
SPPL2B MAVS
SPPL2B YIPF6
SPPL2B KDELR3
SPPL2B ENTPD7
SPPL2B ERGIC3
SPPL2B CHPT1
SPPL2B IGSF3
SPPL2B GOLGA5
